id_sv,ten_sv,ngay_sinh,gioi_tinh,uu_tien,khu_vuc,diem_khuyen_khich,ma_tinh,loai_thi_sinh
19063263324,Họ Tên 0,2006-03-25,Nữ,Đối tượng 2,KV3,0.49,190,Thí sinh tự do
37606243969,Họ Tên 1,2006-03-12,Nữ,Đối tượng 2,KV1,1.08,376,Thí sinh tự do
60224696199,Họ Tên 2,2003-07-02,Nam,Không,KV1,0.29,602,Thí sinh không phải tự do
23757222611,Họ Tên 3,2003-08-29,Nữ,Đối tượng 1,KV2,0.35,237,Thí sinh không phải tự do
42658230139,Họ Tên 4,2006-11-14,Nam,Đối tượng 1,KV2,0.09,426,Thí sinh không phải tự do
90985434625,Họ Tên 5,2002-08-04,Nam,Không,KV2,0.53,909,Thí sinh không phải tự do
68279750061,Họ Tên 6,2002-11-18,Nam,Đối tượng 1,KV2,0.68,682,Thí sinh không phải tự do
32208069976,Họ Tên 7,2003-02-20,Nam,Không,KV3,1.83,322,Thí sinh không phải tự do
14562676803,Họ Tên 8,2004-10-02,Nam,Đối tượng 1,KV1,0.36,145,Thí sinh tự do
36552560102,Họ Tên 9,2004-10-02,Nữ,Đối tượng 2,KV2,1.22,365,Thí sinh tự do
30327552301,Họ Tên 10,2006-01-20,Nam,Đối tượng 1,KV3,0.34,303,Thí sinh tự do
89687690435,Họ Tên 11,2003-07-01,Nam,Đối tượng 1,KV2,0.14,896,Thí sinh không phải tự do
73854525995,Họ Tên 12,2005-07-12,Nam,Đối tượng 2,KV3,1.44,738,Thí sinh không phải tự do
53285422378,Họ Tên 13,2004-05-18,Nữ,Đối tượng 1,KV3,0.12,532,Thí sinh không phải tự do
59371064657,Họ Tên 14,2003-09-26,Nam,Không,KV2,0.98,593,Thí sinh tự do
22839353754,Họ Tên 15,2003-03-19,Nữ,Không,KV1,1.6,228,Thí sinh không phải tự do
78298808826,Họ Tên 16,2002-12-16,Nam,Đối tượng 2,KV2,0.07,782,Thí sinh tự do
69499315747,Họ Tên 17,2004-10-06,Nữ,Đối tượng 2,KV3,0.88,694,Thí sinh tự do
23319977436,Họ Tên 18,2006-06-21,Nam,Đối tượng 2,KV3,1.21,233,Thí sinh tự do
97747628035,Họ Tên 19,2002-04-14,Nữ,Đối tượng 2,KV1,0.84,977,Thí sinh không phải tự do
